CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
9/26/2017,6G,3800 ELKADER RD,LARCENY,,NORTHEASTERN,Ednor Gardens-Lakeside
9/26/2017,6J,0 S EAST AVE,LARCENY,,SOUTHEASTERN,Patterson Park Neighborho
9/26/2017,6J,1300 GLYNDON AVE,LARCENY,,SOUTHERN,Washington Village/Pigtow
9/26/2017,6C,2500 N CHARLES ST,LARCENY,,NORTHERN,Charles Village
9/26/2017,6J,400 S SMALLWOOD ST,LARCENY,,SOUTHWESTERN,Carrollton Ridge
9/26/2017,6J,700 LIGHT ST,LARCENY,,SOUTHERN,Otterbein
9/26/2017,6G,0 N ROSEDALE ST,LARCENY,,SOUTHWESTERN,Carroll-South Hilton
9/26/2017,6G,1100 E Cold Spring Ln,LARCENY,,NORTHEASTERN,New Northwood
9/26/2017,6C,200 N GAY ST,LARCENY,,EASTERN,Jonestown
9/26/2017,6E,3500 W NORTHERN PKWY,LARCENY,,NORTHWESTERN,Glen
9/26/2017,6C,4500 W NORTHERN PKWY,LARCENY,,NORTHWESTERN,Seton Business Park
9/26/2017,6F,400 KEY HWY,LARCENY,,CENTRAL,Inner Harbor
9/26/2017,6E,4100 ROLAND AVE,LARCENY,,NORTHERN,Roland Park
9/26/2017,6J,2800 DAMASCUS CT,LARCENY,,NORTHWESTERN,Cheswolde
9/26/2017,6F,400 KEY HWY,LARCENY,,CENTRAL,Inner Harbor
9/25/2017,6E,1600 RIDGELY ST,LARCENY,,SOUTHERN,Carroll - Camden Industri
9/25/2017,6G,500 ROBERT ST,LARCENY,,CENTRAL,Druid Heights
9/25/2017,6E,3600 GARRISON BLVD,LARCENY,,NORTHWESTERN,Callaway-Garrison
9/25/2017,6C,600 E PRATT ST,LARCENY,,CENTRAL,Inner Harbor
9/25/2017,6C,6000 HARFORD RD,LARCENY,,NORTHEASTERN,Westfield
9/25/2017,6E,600 MCKEWIN AVE,LARCENY,,NORTHERN,Waverly
9/25/2017,6E,900 RODMAN WAY,LARCENY,,NORTHEASTERN,Armistead Gardens
9/25/2017,6G,6500 FALKIRK RD,LARCENY,,NORTHEASTERN,Idlewood
9/25/2017,6E,1400 HULL ST,LARCENY,,SOUTHERN,Locust Point
9/25/2017,6C,3500 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
9/25/2017,6C,3500 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
9/25/2017,6C,5200 REISTERSTOWN RD,LARCENY,,NORTHWESTERN,Woodmere
9/25/2017,6C,900 N CHARLES ST,LARCENY,,CENTRAL,Mount Vernon
9/25/2017,6J,0 N KRESSON ST,LARCENY,,SOUTHEASTERN,Kresson
9/25/2017,6J,5500 PARK HEIGHTS AVE,LARCENY,,NORTHWESTERN,Pimlico Good Neighbors
9/25/2017,6E,1500 GREENDALE RD,LARCENY,,NORTHEASTERN,Ednor Gardens-Lakeside
9/25/2017,6J,3600 W FOREST PARK AVE,LARCENY,,NORTHWESTERN,Forest Park
