6/12/2017,2A,6600 HARFORD RD,RAPE,OTHER,NORTHEASTERN,Westfield
6/10/2017,2A,NORTH AV & N SMALLWOOD ST,RAPE,OTHER,WESTERN,Mondawmin
6/10/2017,2A,4800 HOMER AVE,RAPE,OTHER,NORTHWESTERN,Central Park Heights
6/10/2017,2A,600 W LOMBARD ST,RAPE,OTHER,CENTRAL,University Of Maryland
6/7/2017,2A,2800 CLIFTON AVE,RAPE,OTHER,WESTERN,Panway/Braddish Avenue
6/7/2017,2A,100 N CURLEY ST,RAPE,OTHER,SOUTHEASTERN,Patterson Park Neighborho
6/7/2017,2A,2700 E PRESTON ST,RAPE,OTHER,EASTERN,Berea
6/6/2017,2A,0 LIGHT ST,RAPE,OTHER,CENTRAL,Downtown
6/5/2017,2A,4100 THE ALAMEDA,RAPE,OTHER,NORTHERN,Original Northwood
6/4/2017,2A,5900 KAVON AVE,RAPE,OTHER,NORTHEASTERN,Cedmont
6/3/2017,2A,600 N HIGHLAND AVE,RAPE,OTHER,SOUTHEASTERN,Ellwood Park/Monument
6/3/2017,2B,4000 W BELVEDERE AVE,RAPE,,NORTHWESTERN,Woodmere
6/2/2017,2A,200 DAVIS ST,RAPE,OTHER,CENTRAL,Downtown
6/2/2017,2A,5600 LOCH RAVEN BLVD,RAPE,OTHER,NORTHEASTERN,Loch Raven
6/1/2017,2A,1700 W FRANKLIN ST,RAPE,OTHER,WESTERN,Harlem Park
6/1/2017,2A,4300 NICHOLAS AVE,RAPE,OTHER,NORTHEASTERN,Belair-Edison
6/1/2017,2A,2300 WINCHESTER ST,RAPE,OTHER,WESTERN,Bridgeview/Greenlawn
5/31/2017,2A,2400 W BELVEDERE AVE,RAPE,OTHER,NORTHERN,Levindale
5/30/2017,2A,1600 WESTWOOD AVE,RAPE,OTHER,WESTERN,Sandtown-Winchester
5/30/2017,2A,2700 REMINGTON,RAPE,OTHER,NORTHERN,Remington
5/30/2017,2A,3000 WALBROOK AVE,RAPE,OTHER,SOUTHWESTERN,Walbrook
5/29/2017,2A,400 FURROW ST,RAPE,OTHER,SOUTHWESTERN,Carrollton Ridge
5/29/2017,2A,200 S FRANKLINTOWN RD,RAPE,OTHER,SOUTHWESTERN,Shipley Hill
5/29/2017,2A,1100 W PRATT ST,RAPE,OTHER,SOUTHERN,Hollins Market
5/28/2017,2A,FRANKLINTOWN RD & W PRATT ST,RAPE,OTHER,SOUTHWESTERN,Shipley Hill
5/28/2017,2A,1100 FRAILEY WAY,RAPE,OTHER,NORTHEASTERN,Armistead Gardens
5/26/2017,2A,400 N FRANKLINTOWN RD,RAPE,OTHER,SOUTHWESTERN,Penrose/Fayette Street Ou
5/25/2017,2A,3300 OAKFIELD AVE,RAPE,OTHER,NORTHWESTERN,Central Forest Park
5/24/2017,2A,800 S LUZERNE AVE,RAPE,OTHER,SOUTHEASTERN,Canton
5/23/2017,2A,300 S BEECHFIELD AVE,RAPE,OTHER,SOUTHWESTERN,Yale Heights
5/22/2017,2A,3800 BOSTON ST,RAPE,OTHER,SOUTHEASTERN,Canton Industrial Area
5/21/2017,2A,1300 GUILFORD AVE,RAPE,OTHER,CENTRAL,Mid-Town Belvedere
5/20/2017,2A,6600 HARTWAIT ST,RAPE,OTHER,SOUTHEASTERN,Broening Manor
5/19/2017,2A,2000 E FAYETTE ST,RAPE,OTHER,EASTERN,CARE
5/19/2017,2A,200 E PRATT ST,RAPE,OTHER,CENTRAL,Inner Harbor
5/18/2017,2A,4900 LINDSAY RD,RAPE,OTHER,SOUTHWESTERN,West Hills
5/18/2017,2A,3000 S HANOVER ST,RAPE,OTHER,SOUTHERN,Middle Branch/Reedbird Pa
