CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
4/8/2015,1F,4100 AUDREY AV,HOMICIDE,FIREARM,SOUTHERN,Brooklyn
4/7/2015,1F,0 N MONROE ST,HOMICIDE,FIREARM,WESTERN,Franklin Square
4/4/2015,1F,100 N PULASKI ST,HOMICIDE,FIREARM,WESTERN,Penrose/Fayette Street Ou
4/4/2015,1F,3200 ELMLEY AV,HOMICIDE,FIREARM,NORTHEASTERN,Belair-Edison
4/4/2015,1K,2800 EDMONDSON AV,HOMICIDE,KNIFE,WESTERN,Mosher
3/30/2015,1F,1800 E FEDERAL ST,HOMICIDE,FIREARM,EASTERN,Broadway East
3/30/2015,1F,2800 W NORTH AV,HOMICIDE,FIREARM,SOUTHWESTERN,Northwest Community Actio
3/28/2015,1F,4100 10TH ST,HOMICIDE,FIREARM,SOUTHERN,Brooklyn
3/27/2015,1K,2200 CHELSEA TER,HOMICIDE,KNIFE,SOUTHWESTERN,Mount Holly
3/26/2015,1F,4500 PARKTON ST,HOMICIDE,FIREARM,SOUTHWESTERN,Yale Heights
3/24/2015,1F,3300 W CATON AV,HOMICIDE,FIREARM,SOUTHWESTERN,Saint Josephs
3/23/2015,1F,800 N MONROE ST,HOMICIDE,FIREARM,WESTERN,Midtown-Edmondson
3/23/2015,1F,2700 PENNSYLVANIA AV,HOMICIDE,FIREARM,WESTERN,Penn North
3/17/2015,1F,1200 E OLIVER ST,HOMICIDE,FIREARM,EASTERN,Oliver
3/12/2015,1K,1900 E 28TH ST,HOMICIDE,KNIFE,NORTHEASTERN,Coldstream Homestead Mont
3/12/2015,1F,5400 BUCKNELL RD,HOMICIDE,FIREARM,NORTHEASTERN,Cedonia
3/10/2015,1K,4400 LAPLATA AV,HOMICIDE,KNIFE,NORTHERN,Medfield
3/3/2015,1F,800 RICHWOOD AV,HOMICIDE,FIREARM,NORTHERN,Richnor Springs
3/2/2015,1F,700 W LEXINGTON ST,HOMICIDE,FIREARM,CENTRAL,Poppleton
3/2/2015,1F,1300 W LAFAYETTE AV,HOMICIDE,FIREARM,WESTERN,Sandtown-Winchester
2/28/2015,1F,4300 WELBOURNE RD,HOMICIDE,FIREARM,NORTHEASTERN,Hillen
2/25/2015,1F,5600 LOCH RAVEN BLVD,HOMICIDE,FIREARM,NORTHEASTERN,Woodbourne Heights
2/24/2015,1K,800 GUILFORD AV,HOMICIDE,KNIFE,CENTRAL,Mount Vernon
2/24/2015,1F,300 MARYDELL RD,HOMICIDE,FIREARM,SOUTHWESTERN,Irvington
2/22/2015,1F,700 N ROSE ST,HOMICIDE,FIREARM,EASTERN,Milton-Montford
2/21/2015,1F,3800 RIDGEWOOD AV,HOMICIDE,FIREARM,NORTHWESTERN,Dolfield
