callDateTime,priority,district,description,callNumber,incidentLocation
01/17/2016 01:40:00 AM,Medium,ED,FAMILY DISTURB,P160170231,800 N BELNORD AV
01/17/2016 01:46:00 AM,Medium,SD,FAMILY DISTURB,P160170254,1300 PONTIAC AV
01/17/2016 02:45:00 AM,Medium,NE,FAMILY DISTURB,P160170373,3000 MAYFIELD AV
01/17/2016 02:34:00 AM,Medium,ED,FAMILY DISTURB,P160170356,300 E 23RD ST
01/17/2016 02:59:00 AM,Medium,SW,FAMILY DISTURB,P160170393,4600 MAPLE WOOD DR
01/17/2016 03:05:00 AM,Medium,SD,FAMILY DISTURB,P160170409,1300 PONTIAC AV
01/17/2016 03:01:00 AM,Medium,SD,FAMILY DISTURB,P160170403,1300 PONTIAC AV
01/17/2016 03:42:00 AM,Medium,NE,FAMILY DISTURB,P160170447,3200 ELMORA AV
01/17/2016 04:03:00 AM,Medium,SW,FAMILY DISTURB,P160170470,800 UNETTA AV
01/17/2016 03:52:00 AM,Medium,WD,FAMILY DISTURB,P160170453,1600 N SMALLWOOD ST
01/17/2016 04:00:00 AM,Medium,NE,FAMILY DISTURB,P160170468,5100 BENTON HEIGHTS AV
01/17/2016 06:17:00 AM,Medium,ED,FAMILY DISTURB,P160170567,300 E 23RD ST
01/17/2016 06:16:00 AM,Medium,ED,FAMILY DISTURB,P160170569,300 E 23RD ST
01/17/2016 06:41:00 AM,Medium,NE,FAMILY DISTURB,P160170587,3700 MONTEREY RD
01/17/2016 07:34:00 AM,Medium,NE,FAMILY DISTURB,P160170610,2700 WOODSDALE AV
01/17/2016 07:37:00 AM,Medium,NE,FAMILY DISTURB,P160170612,5400 SUMMERFIELD AV
01/17/2016 08:24:00 AM,Medium,NE,FAMILY DISTURB,P160170682,3300 RICHMOND AV
01/17/2016 09:15:00 AM,Medium,ED,FAMILY DISTURB,P160170763,2300 LLEWELYN AV
01/17/2016 09:03:00 AM,Medium,SW,FAMILY DISTURB,P160170749,3900 BENZINGER RD
01/17/2016 09:09:00 AM,Medium,WD,FAMILY DISTURB,P160170759,200 N MOUNT ST
01/17/2016 08:55:00 AM,Medium,SE,FAMILY DISTURB,P160170735,800 STILES ST
01/17/2016 09:25:00 AM,Medium,NE,FAMILY DISTURB,P160170782,1700 E 35TH ST
01/17/2016 09:19:00 AM,Medium,WD,FAMILY DISTURB,P160170774,200 N MOUNT ST
01/17/2016 09:39:00 AM,Medium,WD,FAMILY DISTURB,P160170814,700 APPLETON ST
01/17/2016 10:11:00 AM,Medium,NE,FAMILY DISTURB,P160170881,1700 E 35TH ST
01/17/2016 10:32:00 AM,Medium,SE,FAMILY DISTURB,P160170920,6700 BOSTON AV
01/17/2016 10:42:00 AM,Medium,SW,FAMILY DISTURB,P160170935,1000 PARKSLEY AV
01/17/2016 10:44:00 AM,Medium,ED,FAMILY DISTURB,P160170944,2100 ORLEANS ST
01/17/2016 10:58:00 AM,Medium,NE,FAMILY DISTURB,P160170978,1400 GORSUCH AV
01/17/2016 10:50:00 AM,Medium,WD,FAMILY DISTURB,P160170955,2300 MCCULLOH ST
01/17/2016 11:29:00 AM,Medium,ND,FAMILY DISTURB,P160171063,4200 HICKORY AV
01/18/2016 01:38:00 PM,Medium,CD,FAMILY DISTURB,P160181339,500 BLOOM ST
01/17/2016 11:50:00 AM,Medium,NW,FAMILY DISTURB,P160171115,3600 REISTERSTOWN RD
01/17/2016 12:00:00 PM,Medium,ND,FAMILY DISTURB,P160171143,4200 HICKORY AV
01/17/2016 03:05:00 PM,Medium,SW,FAMILY DISTURB,P160171632,200 S MONASTERY AV
01/17/2016 12:23:00 PM,Medium,SD,FAMILY DISTURB,P160171224,1300 PONTIAC AV
01/17/2016 12:41:00 PM,Medium,NE,FAMILY DISTURB,P160171268,5100 CONANT WY
01/17/2016 01:33:00 PM,Medium,NE,FAMILY DISTURB,P160171394,3200 ELMORA AV
01/17/2016 01:26:00 PM,Medium,SW,FAMILY DISTURB,P160171373,200 S MT OLIVET LN
01/17/2016 01:11:00 PM,Medium,NE,FAMILY DISTURB,P160171340,1700 E 35TH ST
01/17/2016 01:58:00 PM,Medium,ED,FAMILY DISTURB,P160171458,1800 E OLIVER ST
01/17/2016 02:29:00 PM,Medium,NE,FAMILY DISTURB,P160171530,2600 HARFORD RD
01/18/2016 01:34:00 PM,Medium,ED,FAMILY DISTURB,P160181333,2900 E MADISON ST
01/17/2016 02:04:00 PM,Medium,SD,FAMILY DISTURB,P160171471,1600 CHURCH ST
01/17/2016 02:27:00 PM,Medium,SD,FAMILY DISTURB,P160171519,3000 SOUTHLAND AV
01/17/2016 02:41:00 PM,Medium,CD,FAMILY DISTURB,P160171563,600-B W CHERRY BLOSSOM WY
01/17/2016 08:40:00 PM,Medium,SD,FAMILY DISTURB,P160172524,3500 7TH ST
01/17/2016 03:12:00 PM,Medium,ND,FAMILY DISTURB,P160171651,2800 WOODLAND AV
01/17/2016 03:07:00 PM,Medium,ND,FAMILY DISTURB,P160171631,2800 WOODLAND AV
01/17/2016 02:52:00 PM,Medium,WD,FAMILY DISTURB,P160171602,1100 N STRICKER ST
01/17/2016 02:55:00 PM,Medium,WD,FAMILY DISTURB,P160171606,1800 CLIFTON AV
01/17/2016 03:21:00 PM,Medium,ED,FAMILY DISTURB,P160171674,2400 E HOFFMAN ST
01/17/2016 04:58:00 PM,Medium,SD,FAMILY DISTURB,P160171918,400 S VINCENT ST
01/17/2016 05:49:00 PM,Medium,SD,FAMILY DISTURB,P160172072,1300 JAMES ST
01/17/2016 05:52:00 PM,Medium,SD,FAMILY DISTURB,P160172082,1300 JAMES ST
01/17/2016 06:07:00 PM,Medium,CD,FAMILY DISTURB,P160172131,700 W LEXINGTON ST
01/17/2016 05:51:00 PM,Medium,SW,FAMILY DISTURB,P160172089,2900 W NORTH AV
